Source,Label,Target,Weight
V2,V2,ProSt,1.30E-05
V2,V2,V3A,0.009564514
V2,V2,FST,0.00058533
V2,V2,PEC,0.000390567
V2,V2,A14C,0
V2,V2,A31,0.000218341
V2,V2,A30,0.000109943
V2,V2,A36,0.000233803
V2,V2,A35,0
V2,V2,TEO,0.00315091
V2,V2,A14R,0
V2,V2,ProM,0
V2,V2,AuR,0
V2,V2,A29a-c,0
V2,V2,V6,0.078564395
V2,V2,A6DR,0
V2,V2,A6DC,0
V2,V2,TE1,0
V2,V2,TE2,9.18E-05
V2,V2,TE3,0.000901913
V2,V2,TLO,0.004074146
V2,V2,A8b,0
V2,V2,PFG,9.86E-05
V2,V2,A46V,0
V2,V2,A3b,0
V2,V2,A3a,0
V2,V2,A46D,0
V2,V2,DI,0
V2,V2,MST,0.003734871
V2,V2,AIP,7.35E-05
V2,V2,A24a,0
V2,V2,A24c,0
V2,V2,A24b,0
V2,V2,A24d,0
V2,V2,A19DI,0.04612057
V2,V2,A11,0
V2,V2,A10,0
V2,V2,S2E,3.08E-05
V2,V2,PGM,0.000478236
V2,V2,A8C,0
V2,V2,TL,0.001084857
V2,V2,V3,0.115610249
V2,V2,A32V,0
V2,V2,V5,0.02408851
V2,V2,TH,0.000922018
V2,V2,A9,0
V2,V2,AuRT,0
V2,V2,A1-2,0
V2,V2,AI,0
V2,V2,IPro,0
V2,V2,STR,0
V2,V2,AuRM,0
V2,V2,TFO,0.007387075
V2,V2,OPro,0
V2,V2,PaIL,0
V2,V2,PaIM,0
V2,V2,AuCM,0
V2,V2,AuCL,0
V4,V4,S2I,0
V4,V4,AuRTM,0
V4,V4,AuRTL,0
V4,V4,OPAl,8.01E-05
V4,V4,A6M,0
V4,V4,LIP,0.005668736
V4,V4,MIP,0.006835695
V4,V4,AuA1,0
V4,V4,S2PR,0
V4,V4,V1,0.001701544
V4,V4,PGa-IPa,0.001460763
V4,V4,V2,0.052484802
V4,V4,V6A,0.001056117
V4,V4,A6Vb,0.000496775
V4,V4,A6Va,0.001697377
V4,V4,TPPro,0
V4,V4,A23a,2.67E-05
V4,V4,A23b,0
V4,V4,A23c,0
V4,V4,TPO,0.000123355
V4,V4,A13b,0
V4,V4,A13a,0
V4,V4,TF,0.008630941
V4,V4,GI,2.67E-05
V4,V4,A25,0
V4,V4,AuAL,0
V4,V4,Gu,2.67E-05
V4,V4,A13M,2.67E-05
V4,V4,A13L,0.001001201
V4,V4,A23V,2.67E-05
V4,V4,TPt,9.35E-05
V4,V4,Pir,0
V4,V4,A29d,0.000150045
V4,V4,A19M,0.016751071
V4,V4,A4c,0
V4,V4,APir,0
V4,V4,TPro,0
V4,V4,Ent,0
V4,V4,VIP,0.000763919
V4,V4,ReI,0
V4,V4,PF,0.000533803
